type,text
Mechanical Failure,Items are occasionally getting stuck in the scanner spools.
Mechanical Failure,Loud rattling and banging sounds are coming from assembler pistons.
Electronic Failure,There are cuts to the power when starting the plant.
Electronic Failure,Fried capacitors in the assembler.
Electronic Failure,Mixer tripped the fuses.
Leak,Burst pipe in the constructing agent is spraying coolant.
Electronic Failure,A fuse is blown in the mixer.
Mechanical Failure,Things continue to tumble off of the belt.
Mechanical Failure,Falling items from the conveyor belt.
Mechanical Failure,"The scanner reel is split, it will soon begin to curve."
Electronic Failure,Fuses are blown in the scanner.
Electronic Failure,Shrill cry from the scanner computer.
Software Failure,Sorter controller neglects to interface.
Mechanical Failure,Clunky sounds made by the sorting pistons.
Mechanical Failure,Assembler will produce bent products.
Mechanical Failure,Piston assembly makes a strong banging sound.
Mechanical Failure,There are cracks appearing in the outer plate of the mixer.
Software Failure,The mixing software crashed.
Electronic Failure,Scanner frequently shuts down unexpectedly.
Electronic Failure,Fuse is blown in the assembly mixer device.
Mechanical Failure,The assembler will not move from time to time.
Electronic Failure,Fuse is blown in the assembler.
Electronic Failure,Abnormal electrical sounds from the scanner.
Software Failure,Assembling software fails to connect to the network.
Electronic Failure,Mixer is hot to the touch.
Mechanical Failure,A slamming sound is heard in the cylinder agent.
Mechanical Failure,Slight ticking sound emitted from the mixer.
Electronic Failure,Robot arm power supply is burnt out.
Software Failure,The controller programming continues crashing.
Electronic Failure,Sharp high-pitched sound coming from the blender.
Leak,Blending coolant spilling on the floor.
Electronic Failure,A fuse in the controller assembly is blown.
Mechanical Failure,Assembled products have some rough edges.
Mechanical Failure,A big rattling sound heard inside the mixer.
Software Failure,Mechanical arrangement software freezes at times.
Electronic Failure,Mixer is hot to the touch.
Electronic Failure,Sorter power supply has failed.
Electronic Failure,The mixer start-up trips some fuses.
Mechanical Failure,Transport line is stuck.
Mechanical Failure,Some assembled products are cracked.
Leak,Overheating of the sorting plant machines.
Electronic Failure,Strange electrical sounds from the scanner.
Mechanical Failure,Scanner reel will begin cracking.
Mechanical Failure,Rattling sound caused by the robot arm.
Software Failure,Mixing software has crashed.
Mechanical Failure,Scanner spools are starting to crack.
Electronic Failure,The mixer is hot to the touch.
Mechanical Failure,Rattling clunky sounds heard inside assembler pistons.
Electronic Failure,Robot arm is emitting black smoke.
Leak,Blender coolant pipe spilling.
Mechanical Failure,Weird whirring sound heard inside the construction agent.
Leak,Blender coolant spilling all over the place.
Mechanical Failure,Things stuck in spool scanner.
Electronic Failure,High pitch coil whine heard in the mixer.
Mechanical Failure,Things are falling from the conveyor line.
Mechanical Failure,Jammed conveyor belt.
Leak,Weird liquid on the ground of the bottom of the mixer.
Mechanical Failure,Dents in product is caused by the robot arm.
Electronic Failure,Fuse to the mixer assembly tripped.
Electronic Failure,Regular power cuts when starting plant.
Mechanical Failure,Things will fall off the transportation line.
Leak,Assembler is overheating.
Mechanical Failure,Items falling off conveyor belt.
Mechanical Failure,Products are sometimes stuck to the scanner of the reel.
Software Failure,"Software controller, will fail to interface with the mixer."
Leak,mixer is overheating.
Software Failure,Sorter controller does not connect.
Mechanical Failure,Robot arms giving slight indications of wear.
Mechanical Failure,The products occasionally leave the scanner cracked.
Electronic Failure,The mixer is smoking during operation.
Electronic Failure,Strange sound was produced from mixer.
Electronic Failure,Construction of the assembler agent gets turned off.
Leak,Constantly overheating mixer.
Electronic Failure,Smoke is emitted of the robot arm.
Mechanical Failure,breaks appearing in the scanner roller.
Electronic Failure,Stuck mixer output.
Software Failure,Scanner programming frozen.
Electronic Failure,assembler backup power burnt out.
Electronic Failure,Mixer is releasing smoke.
Electronic Failure,Mixer has been smoking while running.
Electronic Failure,High pitched coil whine from scanner computer.
Mechanical Failure,Strange rattling sound heard inside mixer.
Mechanical Failure,quiet rattle inside the mixer.
Mechanical Failure,Transport line stuck.
Mechanical Failure,Scanner spools beginning to split and curve.
Electronic Failure,Mixer start up tripped fuse.
Mechanical Failure,The items periodically leave the scanner broke.
Mechanical Failure,slight ticking sound emitted from the mixer.
Electronic Failure,strange high-pitched sound coming from assembler.
Electronic Failure,Power cut in factory at start up.
Mechanical Failure,cracks appearing in the scanner roller.
Mechanical Failure,Some of the material output by the assembler is bent.
Electronic Failure,Backup power supply of the mixer failed.
Leak,Extreme coolant spill underneath mixer.
Software Failure,Scanner software frozen.
Electronic Failure,Occasional power cuts when beginning plant.
Electronic Failure,Ringing sound in the electrical scanner.
Mechanical Failure,Material has been bent by the assembler.
Electronic Failure,Scanner shut down unexpectedly.
Leak,Extraordinary overheating of sorter plant.
Mechanical Failure,Scanner spools get stuck.
Leak,Burst pipe in the cooling structure when the agent is engaged.
Leak,The cooling water in the mixer spills all over the place.
